class,structure,Pv
multidomains,m2n2_15_30_50-48-multidom.pdb,0.08183761
multidomains,m2n4_15_30_32-3-multidom.pdb,0.0
micelles,m3n3_15_30_50-15-micelle.pdb,0.06294872
multidomains,m5n2_15_30_50-81-multidom.pdb,0.0
multidomains,m2n5_15_30_32-136-multidom.pdb,0.07350427
multidomains,m2n2_15_30_40-54-multidom.pdb,0.05
multidomains,m2n3_15_30_35-15-multidom.pdb,0.0
multidomains,m2n5_15_30_35-14-multidom.pdb,0.22553551
multidomains,m7n2_15_30_50-58-multidom_far_.pdb,0.0
multidomains,m2n5_15_30_35-58-multidom.pdb,0.17015089
multidomains,m2n3_15_30_45-78-multidom_wormcoiled_.pdb,0.0
multidomains,m7n2_15_30_50-134-multidom_far_.pdb,0.0
multidomains,m5n2_15_30_50-39-multidom.pdb,0.0
multidomains,m2n2_15_30_40-87-multidom.pdb,0.0
micelles,m2n2_15_30_100-14-micelle.pdb,0.17085714
multidomains,m7n2_15_30_50-41-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_35-55-multidom.pdb,0.0
multidomains,m5n2_15_30_50-135-multidom.pdb,0.0
multidomains,m2n5_15_30_32-134-multidom.pdb,0.02
multidomains,m2n3_15_30_35-52-multidom.pdb,0.0
multidomains,m2n5_15_30_35-60-multidom.pdb,0.27085714
multidomains,m2n3_15_30_45-25-multidom_wormcoiled_.pdb,0.01
multidomains,m2n5_15_30_35-70-multidom.pdb,0.27085714
multidomains,m5n2_15_30_50-22-multidom.pdb,0.0
micelles,m2n3_15_30_45-15-connected-micelles.pdb,0.0
multidomains,m2n5_15_30_35-87-multidom.pdb,0.3025
multidomains,m7n2_15_30_50-42-multidom_far_.pdb,0.0
multidomains,m7n2_15_30_50-18-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_40-83-multidom.pdb,0.0
multidomains,m7n2_15_30_50-72-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_40-139-multidom.pdb,0.0
multidomains,m7n2_15_30_50-38-multidom_far_.pdb,0.0
multidomains,m2n5_15_30_32-10-multidom.pdb,0.05
multidomains,m2n3_15_30_45-76-multidom_wormcoiled_.pdb,0.07350427
multidomains,m2n4_15_30_32-42-multidom.pdb,0.0
multidomains,m2n5_15_30_32-58-multidom.pdb,0.03
multidomains,m2n5_15_30_32-133-multidom.pdb,0.01461538
multidomains,m2n2_15_30_40-105-multidom.pdb,0.0
multidomains,m2n5_15_30_32-53-multidom.pdb,0.05
multidomains,m2n5_15_30_32-95-multidom.pdb,0.07350427
multidomains,m2n2_15_30_50-123-multidom.pdb,0.05461538
multidomains,m2n3_15_30_45-77-multidom_wormcoiled_.pdb,0.0
multidomains,m7n2_15_30_50-86-multidom_far_.pdb,0.0
onions,m1n3_15_30_50-62-oni.pdb,0.0
multidomains,m2n4_15_30_32-128-multidom.pdb,0.0
multidomains,m5n2_15_30_50-111-multidom.pdb,0.0
multidomains,m2n3_15_30_45-86-multidom_wormcoiled_.pdb,0.03
onions,m1n3_15_30_50-57-oni.pdb,0.0
onions,m1n3_15_30_50-28-oni.pdb,0.05
multidomains,m2n2_15_30_45-1-multidom.pdb,0.03
multidomains,m7n2_15_30_50-53-multidom_far_.pdb,0.0
multidomains,m7n2_15_30_50-11-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_40-40-multidom.pdb,0.12762708
multidomains,m2n5_15_30_35-27-multidom.pdb,0.03929375
multidomains,m2n3_15_30_35-53-multidom.pdb,0.0
multidomains,m7n2_15_30_50-81-multidom_far_.pdb,0.0
multidomains,m2n4_15_30_32-40-multidom.pdb,0.0
multidomains,m2n5_15_30_32-67-multidom.pdb,0.0
multidomains,m2n4_15_30_32-16-multidom.pdb,0.0
multidomains,m7n2_15_30_50-44-multidom_far_.pdb,0.0
multidomains,m7n2_15_30_50-20-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_35-67-multidom.pdb,0.0
micelles,m2n5_15_30_40-5-micelle.pdb,0.12269475
multidomains,m2n3_15_30_40-12-wormdom.pdb,0.0
multidomains,m2n2_15_30_50-52-multidom.pdb,0.07269475
multidomains,m2n5_15_30_32-145-multidom.pdb,0.0
multidomains,m2n4_15_30_32-104-multidom.pdb,0.0
multidomains,m2n5_15_30_32-88-multidom.pdb,0.0
multidomains,m7n2_15_30_50-21-multidom_far_.pdb,0.0
multidomains,m2n4_15_30_32-136-multidom.pdb,0.0
multidomains,m2n4_15_30_32-35-multidom.pdb,0.0
multidomains,m7n2_15_30_50-75-multidom_far_.pdb,0.0
onions,m1n3_15_30_50-76-oni.pdb,0.26571429
multidomains,m2n3_15_30_45-107-multidom_wormcoiled_.pdb,0.05461538
multidomains,m2n2_15_30_45-11-multidom.pdb,0.05
multidomains,m5n2_15_30_50-47-multidom.pdb,0.0
multidomains,m2n2_15_30_40-113-multidom.pdb,0.06
onions,m1n3_15_30_50-72-oni.pdb,0.02
onions,m1n3_15_30_50-68-oni.pdb,0.02
multidomains,m2n5_15_30_35-57-multidom.pdb,0.02929375
multidomains,m2n3_15_30_45-24-multidom_wormcoiled_.pdb,0.03
multidomains,m7n2_15_30_50-22-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_45-67-multidom_wormcoiled_.pdb,0.0
multidomains,m2n3_15_30_45-36-multidom_wormcoiled_.pdb,0.04
multidomains,m5n2_15_30_50-4-multidom.pdb,0.0
multidomains,m2n2_15_30_50-9-multidom.pdb,0.06294872
multidomains,m2n5_15_30_32-29-multidom.pdb,0.05833333
multidomains,m7n2_15_30_50-2-multidom_far_.pdb,0.0
multidomains,m2n4_15_30_32-117-multidom.pdb,0.0
multidomains,m2n2_15_30_40-26-multidom.pdb,0.14762708
multidomains,m2n5_15_30_32-102-multidom.pdb,0.07269475
multidomains,m2n5_15_30_35-82-multidom.pdb,0.18928571
multidomains,m7n2_15_30_50-35-multidom_far_.pdb,0.0
multidomains,m7n2_15_30_50-124-multidom_far_.pdb,0.0
micelles,m5n2_15_30_100-23-micelle.pdb,0.0
multidomains,m2n3_15_30_45-118-multidom_wormcoiled_.pdb,0.05461538
multidomains,m2n4_15_30_32-123-multidom.pdb,0.0
multidomains,m2n4_15_30_32-102-multidom.pdb,0.0
multidomains,m2n4_15_30_32-61-multidom.pdb,0.0
micelles,m2n1_15_30_100-4-neckl.pdb,0.0
multidomains,m2n5_15_30_35-7-multidom.pdb,0.23553551
multidomains,m2n2_15_30_50-141-multidom.pdb,0.05833333
multidomains,m2n5_15_30_35-15-multidom.pdb,0.25
multidomains,m2n2_15_30_50-12-multidom.pdb,0.05
multidomains,m2n3_15_30_35-9-multidom.pdb,0.04
multidomains,m5n2_15_30_50-131-multidom.pdb,0.0
multidomains,m2n4_15_30_32-31-multidom.pdb,0.0
multidomains,m2n4_15_30_32-20-multidom.pdb,0.0
multidomains,m2n2_15_30_40-52-multidom.pdb,0.0
multidomains,m2n3_15_30_45-97-multidom_wormcoiled_.pdb,0.05461538
multidomains,m2n4_15_30_32-98-multidom.pdb,0.0
multidomains,m2n5_15_30_32-103-multidom.pdb,0.01350427
multidomains,m2n5_15_30_32-5-multidom.pdb,0.05461538
multidomains,m2n2_15_30_50-74-multidom.pdb,0.08183761
multidomains,m2n3_15_30_45-87-multidom_wormcoiled_.pdb,0.04547253
multidomains,m2n3_15_30_45-53-multidom_wormcoiled_.pdb,0.04
multidomains,m5n2_15_30_50-127-multidom.pdb,0.0
multidomains,m5n2_15_30_50-76-multidom.pdb,0.0
multidomains,m2n4_15_30_32-87-multidom.pdb,0.0
onions,m1n3_15_30_50-77-oni.pdb,0.02
multidomains,m2n3_15_30_35-73-multidom.pdb,0.05833333
multidomains,m2n5_15_30_32-59-multidom.pdb,0.06
onions,m1n3_15_30_50-8-oni.pdb,0.25
multidomains,m2n3_15_30_45-94-multidom_wormcoiled_.pdb,0.05
cylinders,m2n5_15_30_40-15-cylinder.pdb,0.03
cylinders,m2n5_15_30_40-14-cylinder.pdb,0.0
multidomains,m7n2_15_30_50-15-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_40-2-wormdom.pdb,0.06350427
multidomains,m2n3_15_30_35-3-multidom.pdb,0.0
multidomains,m7n2_15_30_50-143-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_45-110-multidom_wormcoiled_.pdb,0.05
multidomains,m2n3_15_30_45-146-multidom_wormcoiled_.pdb,0.05461538
multidomains,m2n5_15_30_32-73-multidom.pdb,0.0
multidomains,m7n2_15_30_50-130-multidom_far_.pdb,0.0
micelles,m3n3_15_30_50-18-micelle.pdb,0.05
multidomains,m5n2_15_30_50-38-multidom.pdb,0.0
multidomains,m2n3_15_30_35-98-multidom.pdb,0.0
multidomains,m2n2_15_30_40-141-multidom.pdb,0.0
multidomains,m2n2_15_30_40-107-multidom.pdb,0.03
multidomains,m2n4_15_30_32-114-multidom.pdb,0.0
multidomains,m2n3_15_30_35-46-multidom.pdb,0.03
multidomains,m2n5_15_30_35-55-multidom.pdb,0.22553551
multidomains,m5n2_15_30_50-90-multidom.pdb,0.0
multidomains,m2n2_15_30_50-93-multidom.pdb,0.06294872
multidomains,m5n2_15_30_50-23-multidom.pdb,0.0
multidomains,m2n2_15_30_50-100-multidom.pdb,0.05
multidomains,m7n2_15_30_50-79-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_35-11-multidom.pdb,0.03
multidomains,m2n2_15_30_50-2-multidom.pdb,0.05
micelles,m5n2_15_30_100-33-micelle.pdb,0.0
multidomains,m7n2_15_30_50-57-multidom_far_.pdb,0.0
multidomains,m5n2_15_30_50-124-multidom.pdb,0.0
micelles,m2n3_15_30_45-16-connected-micelles.pdb,0.0
multidomains,m2n3_15_30_40-17-wormdom.pdb,0.03
multidomains,m7n2_15_30_50-104-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_45-11-multidom.pdb,0.05461538
multidomains,m2n4_15_30_32-91-multidom.pdb,0.0
micelles,m3n2_15_30_50-2-micelle.pdb,0.0
multidomains,m2n5_15_30_35-89-multidom.pdb,0.3025
onions,m1n3_15_30_100-oni.pdb,0.14738095
multidomains,m2n3_15_30_45-12-multidom_wormcoiled_.pdb,0.01461538
multidomains,m2n3_15_30_45-70-multidom_wormcoiled_.pdb,0.05461538
multidomains,m2n2_15_30_50-109-multidom.pdb,0.03
multidomains,m2n5_15_30_32-130-multidom.pdb,0.05
multidomains,m2n5_15_30_32-119-multidom.pdb,0.0
multidomains,m2n2_15_30_40-144-multidom.pdb,0.0
multidomains,m2n4_15_30_32-110-multidom.pdb,0.0
multidomains,m2n5_15_30_32-81-multidom.pdb,0.04
multidomains,m5n2_15_30_50-27-multidom.pdb,0.0
cylinders,m2n5_15_30_40-13-cylinder.pdb,0.03
micelles,m2n5_15_30_40-8-micelle.pdb,0.01350427
multidomains,m2n4_15_30_32-17-multidom.pdb,0.0
multidomains,m2n5_15_30_32-90-multidom.pdb,0.07015089
multidomains,m2n2_15_30_50-78-multidom.pdb,0.05461538
multidomains,m2n4_15_30_32-116-multidom.pdb,0.0
cylinders,m2n3_15_30_45-10-connected-micelles-or-2cyl-short.pdb,0.0
micelles,m2n2_15_30_100-8-micelle.pdb,0.06294872
multidomains,m2n2_15_30_40-129-multidom.pdb,0.0
multidomains,m2n2_15_30_50-69-multidom.pdb,0.06294872
multidomains,m2n2_15_30_45-7-multidom.pdb,0.05461538
multidomains,m2n5_15_30_32-105-multidom.pdb,0.0
multidomains,m7n2_15_30_50-125-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_45-20-multidom_wormcoiled_.pdb,0.05
multidomains,m2n2_15_30_50-50-multidom.pdb,0.08183761
multidomains,m2n2_15_30_50-91-multidom.pdb,0.05833333
micelles,m2n2_15_30_100-13-micelle.pdb,0.20919048
multidomains,m2n2_15_30_40-100-multidom.pdb,0.0
multidomains,m2n2_15_30_40-76-multidom.pdb,0.03833333
micelles,m5n2_15_30_100-22-micelle.pdb,0.00461538
multidomains,m2n2_15_30_50-11-multidom.pdb,0.05461538
multidomains,m2n4_15_30_32-132-multidom.pdb,0.0
multidomains,m2n2_15_30_50-148-multidom.pdb,0.04833333
multidomains,m7n2_15_30_50-40-multidom_far_.pdb,0.0
micelles,m2n3_15_30_50-14-micelle.pdb,0.00461538
multidomains,m2n4_15_30_32-28-multidom.pdb,0.0
multidomains,m5n2_15_30_50-119-multidom.pdb,0.0
multidomains,m7n2_15_30_50-129-multidom_far_.pdb,0.0
micelles,m3n3_15_30_50-1-micelle.pdb,0.20919048
multidomains,m2n2_15_30_50-128-multidom.pdb,0.05461538
multidomains,m2n2_15_30_50-17-multidom.pdb,0.05833333
multidomains,m5n2_15_30_50-7-multidom.pdb,0.0
multidomains,m7n2_15_30_50-137-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_40-108-multidom.pdb,0.03
multidomains,m2n2_15_30_50-135-multidom.pdb,0.05
multidomains,m2n4_15_30_32-119-multidom.pdb,0.0
cylinders,m2n2_15_30_100-9-cylinder_short.pdb,0.03
micelles,m2n3_15_30_45-13-connected-micelles.pdb,0.0
multidomains,m2n5_15_30_32-120-multidom.pdb,0.02
multidomains,m2n2_15_30_50-101-multidom.pdb,0.05
multidomains,m2n5_15_30_32-3-multidom.pdb,0.07350427
multidomains,m2n2_15_30_50-112-multidom.pdb,0.03
multidomains,m7n2_15_30_50-141-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_40-85-multidom.pdb,0.0
multidomains,m2n5_15_30_32-112-multidom.pdb,0.0
multidomains,m2n2_15_30_40-58-multidom.pdb,0.06
multidomains,m2n5_15_30_32-100-multidom.pdb,0.06929375
micelles,m2n5_15_30_40-6-micelle.pdb,0.05461538
multidomains,m2n5_15_30_32-94-multidom.pdb,0.07015089
multidomains,m2n2_15_30_50-104-multidom.pdb,0.06294872
multidomains,m2n3_15_30_45-3-multidom_wormcoiled_.pdb,0.05461538
multidomains,m5n2_15_30_50-73-multidom.pdb,0.0
multidomains,m2n5_15_30_35-48-multidom.pdb,0.19553551
multidomains,m5n2_15_30_50-20-multidom.pdb,0.0
multidomains,m2n3_15_30_45-109-multidom_wormcoiled_.pdb,0.05461538
multidomains,m2n3_15_30_35-62-multidom.pdb,0.03
multidomains,m7n2_15_30_50-109-multidom_far_.pdb,0.0
cylinders,m2n5_15_30_40-18-cylinder.pdb,0.0
cylinders,m2n5_15_30_40-5-cylinder_short.pdb,0.05461538
multidomains,m2n2_15_30_40-12-multidom.pdb,0.03833333
onions,m1n3_15_30_50-65-oni.pdb,0.06166667
multidomains,m2n3_15_30_35-72-multidom.pdb,0.01
multidomains,m2n2_15_30_50-132-multidom.pdb,0.04833333
multidomains,m2n2_15_30_40-157-multidom.pdb,0.03
onions,m1n3_15_30_50-52-oni.pdb,0.11166667
multidomains,m2n5_15_30_32-135-multidom.pdb,0.05461538
multidomains,m2n4_15_30_32-27-multidom.pdb,0.0
multidomains,m2n3_15_30_45-114-multidom_wormcoiled_.pdb,0.05461538
multidomains,m7n2_15_30_50-76-multidom_far_.pdb,0.0
multidomains,m5n2_15_30_50-65-multidom.pdb,0.0
multidomains,m5n2_15_30_50-101-multidom.pdb,0.0
multidomains,m2n4_15_30_32-147-multidom.pdb,0.0
multidomains,m2n3_15_30_45-64-multidom_wormcoiled_.pdb,0.03
multidomains,m2n5_15_30_32-65-multidom.pdb,0.05
micelles,m3n3_15_30_50-8-micelle.pdb,0.05
multidomains,m2n3_15_30_40-19-wormdom.pdb,0.05461538
multidomains,m2n3_15_30_35-22-multidom.pdb,0.03833333
multidomains,m2n4_15_30_32-149-multidom.pdb,0.07350427
multidomains,m2n2_15_30_50-150-multidom.pdb,0.05833333
multidomains,m2n4_15_30_32-34-multidom.pdb,0.0
multidomains,m2n3_15_30_45-108-multidom_wormcoiled_.pdb,0.05461538
multidomains,m2n2_15_30_40-109-multidom.pdb,0.04833333
multidomains,m2n2_15_30_40-118-multidom.pdb,0.05
multidomains,m7n2_15_30_50-105-multidom_far_.pdb,0.0
multidomains,m2n4_15_30_32-127-multidom.pdb,0.0
cylinders,m2n3_15_30_50-5-cylinder.pdb,0.0
multidomains,m2n3_15_30_35-94-multidom.pdb,0.03
cylinders,m2n5_15_30_40-4-cylinder_short.pdb,0.05
multidomains,m5n2_15_30_50-120-multidom.pdb,0.0
multidomains,m2n5_15_30_35-17-multidom.pdb,0.07350427
multidomains,m2n3_15_30_45-125-multidom_wormcoiled_.pdb,0.0
multidomains,m2n3_15_30_35-44-multidom.pdb,0.0
micelles,m2n3_15_30_50-10-micelle.pdb,0.00461538
onions,m1n3_15_30_50-67-oni.pdb,0.16571429
multidomains,m5n2_15_30_50-89-multidom.pdb,0.0
onions,m1n3_15_30_50-40-oni.pdb,0.0
multidomains,m2n2_15_30_45-5-multidom.pdb,0.06294872
multidomains,m2n2_15_30_40-46-multidom.pdb,0.11762708
multidomains,m7n2_15_30_50-45-multidom_far_.pdb,0.0
multidomains,m2n5_15_30_32-110-multidom.pdb,0.00461538
multidomains,m2n4_15_30_32-133-multidom.pdb,0.0
multidomains,m7n2_15_30_50-24-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_40-140-multidom.pdb,0.0
multidomains,m2n2_15_30_40-110-multidom.pdb,0.0
multidomains,m2n2_15_30_40-20-multidom.pdb,0.10350427
multidomains,m7n2_15_30_50-1-multidom_far_.pdb,0.0
multidomains,m5n2_15_30_50-125-multidom.pdb,0.0
onions,m1n3_15_30_50-22-oni.pdb,0.02
multidomains,m2n5_15_30_35-6-multidom.pdb,0.29085714
multidomains,m2n3_15_30_45-10-multidom_wormcoiled_.pdb,0.00461538
onions,m1n3_15_30_50-78-oni.pdb,0.06833333
multidomains,m7n2_15_30_50-43-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_40-101-multidom.pdb,0.0
multidomains,m2n2_15_30_40-19-multidom.pdb,0.07350427
multidomains,m2n4_15_30_32-125-multidom.pdb,0.0
multidomains,m2n2_15_30_50-103-multidom.pdb,0.06350427
cylinders,m2n3_15_30_50-7-cylinder_short.pdb,0.03
multidomains,m2n2_15_30_40-57-multidom.pdb,0.11762708
cylinders,m2n5_15_30_40-9-cylinder.pdb,0.0
cylinders,m2n5_15_30_40-7-cylinder.pdb,0.0
multidomains,m5n2_15_30_50-26-multidom.pdb,0.0
multidomains,m2n4_15_30_32-84-multidom.pdb,0.0
multidomains,m2n2_15_30_40-80-multidom.pdb,0.0
cylinders,m2n5_15_30_40-12-cylinder.pdb,0.0
multidomains,m2n3_15_30_35-58-multidom.pdb,0.0
multidomains,m2n5_15_30_35-2-multidom.pdb,0.29085714
multidomains,m5n2_15_30_50-142-multidom.pdb,0.0
multidomains,m2n3_15_30_35-14-multidom.pdb,0.03
multidomains,m2n3_15_30_45-144-multidom_wormcoiled_.pdb,0.04547253
multidomains,m2n3_15_30_35-97-multidom.pdb,0.03
multidomains,m2n5_15_30_32-72-multidom.pdb,0.0
multidomains,m2n4_15_30_32-142-multidom.pdb,0.0
multidomains,m2n2_15_30_50-42-multidom.pdb,0.07183761
cylinders,m2n5_15_30_40-1-cylinder.pdb,0.03
multidomains,m7n2_15_30_50-47-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_50-142-multidom.pdb,0.06294872
multidomains,m7n2_15_30_50-83-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_50-43-multidom.pdb,0.06294872
multidomains,m2n2_15_30_50-111-multidom.pdb,0.03
multidomains,m2n2_15_30_50-77-multidom.pdb,0.07350427
multidomains,m2n3_15_30_35-10-multidom.pdb,0.03
multidomains,m5n2_15_30_50-46-multidom.pdb,0.0
multidomains,m2n5_15_30_35-69-multidom.pdb,0.18392857
multidomains,m2n2_15_30_50-114-multidom.pdb,0.03
multidomains,m2n2_15_30_40-91-multidom.pdb,0.0
multidomains,m2n3_15_30_45-139-multidom_wormcoiled_.pdb,0.02461538
multidomains,m5n2_15_30_50-57-multidom.pdb,0.0
multidomains,m2n5_15_30_32-19-multidom.pdb,0.0
multidomains,m7n2_15_30_50-138-multidom_far_.pdb,0.0
multidomains,m2n4_15_30_32-138-multidom.pdb,0.0
multidomains,m2n4_15_30_32-19-multidom.pdb,0.0
multidomains,m2n3_15_30_45-4-multidom.pdb,0.01
onions,m1n3_15_30_50-55-oni.pdb,0.21571429
multidomains,m2n3_15_30_35-16-multidom.pdb,0.0
multidomains,m2n5_15_30_32-126-multidom.pdb,0.0
multidomains,m2n3_15_30_45-51-multidom_wormcoiled_.pdb,0.05461538
micelles,m2n2_15_30_100-20-micelle.pdb,0.17919048
multidomains,m2n4_15_30_32-96-multidom.pdb,0.0
multidomains,m2n5_15_30_32-52-multidom.pdb,0.06294872
multidomains,m2n3_15_30_45-40-multidom_wormcoiled_.pdb,0.03
multidomains,m2n2_15_30_50-98-multidom.pdb,0.07350427
cylinders,m2n5_15_30_40-2-cylinder_short.pdb,0.0
multidomains,m2n3_15_30_35-33-multidom.pdb,0.0
onions,m1n3_15_30_50-59-oni.pdb,0.0
multidomains,m2n3_15_30_35-88-multidom.pdb,0.04
multidomains,m2n4_15_30_32-103-multidom.pdb,0.0
multidomains,m5n2_15_30_50-133-multidom.pdb,0.0
multidomains,m2n3_15_30_45-126-multidom_wormcoiled_.pdb,0.0
multidomains,m2n5_15_30_32-41-multidom.pdb,0.05
multidomains,m5n2_15_30_50-130-multidom.pdb,0.0
multidomains,m2n3_15_30_45-30-multidom_wormcoiled_.pdb,0.0
multidomains,m2n5_15_30_32-24-multidom.pdb,0.05
multidomains,m2n2_15_30_50-3-multidom.pdb,0.05
multidomains,m7n2_15_30_50-63-multidom_far_.pdb,0.0
multidomains,m2n4_15_30_32-126-multidom.pdb,0.0
multidomains,m2n2_15_30_40-146-multidom.pdb,0.0
multidomains,m2n3_15_30_35-68-multidom.pdb,0.03
multidomains,m2n5_15_30_32-91-multidom.pdb,0.06350427
multidomains,m2n4_15_30_32-112-multidom.pdb,0.0
multidomains,m5n2_15_30_50-95-multidom.pdb,0.0
multidomains,m5n2_15_30_50-16-multidom.pdb,0.0
onions,m1n2_15_30_50-1-oni.pdb,0.0
multidomains,m2n3_15_30_35-45-multidom.pdb,0.05461538
multidomains,m2n4_15_30_32-100-multidom.pdb,0.0
multidomains,m2n3_15_30_35-51-multidom.pdb,0.0
onions,m1n3_15_30_50-24-oni.pdb,0.03
multidomains,m2n2_15_30_40-18-multidom.pdb,0.06
multidomains,m2n3_15_30_35-92-multidom.pdb,0.0
multidomains,m2n5_15_30_32-66-multidom.pdb,0.0
micelles,m5n2_15_30_100-24-micelle.pdb,0.0
multidomains,m2n5_15_30_32-108-multidom.pdb,0.05461538
onions,m1n3_15_30_50-44-oni.pdb,0.03
multidomains,m2n3_15_30_45-92-multidom_wormcoiled_.pdb,0.05461538
multidomains,m2n2_15_30_50-58-multidom.pdb,0.15848422
multidomains,m5n2_15_30_50-79-multidom.pdb,0.0
multidomains,m7n2_15_30_50-93-multidom_far_.pdb,0.0
micelles,m2n3_15_30_45-18-connected-micelles.pdb,0.0
multidomains,m2n4_15_30_32-135-multidom.pdb,0.0
multidomains,m2n2_15_30_50-72-multidom.pdb,0.06294872
onions,m1n3_15_30_50-63-oni.pdb,0.0
onions,m1n3_15_30_50-56-oni.pdb,0.0
multidomains,m2n2_15_30_40-75-multidom.pdb,0.03
multidomains,m2n3_15_30_45-115-multidom_wormcoiled_.pdb,0.00461538
multidomains,m2n5_15_30_35-35-multidom.pdb,0.29085714
multidomains,m2n5_15_30_35-78-multidom.pdb,0.29085714
multidomains,m2n5_15_30_32-17-multidom.pdb,0.02
multidomains,m2n2_15_30_50-67-multidom.pdb,0.06294872
micelles,m3n3_15_30_50-11-micelle.pdb,0.0
multidomains,m2n2_15_30_40-70-multidom.pdb,0.03
multidomains,m2n5_15_30_32-8-multidom.pdb,0.05
multidomains,m2n2_15_30_50-29-multidom.pdb,0.07350427
cylinders,m2n5_15_30_40-3-cylinder.pdb,0.0
multidomains,m2n3_15_30_35-66-multidom.pdb,0.03
multidomains,m7n2_15_30_50-36-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_40-121-multidom.pdb,0.0
multidomains,m2n5_15_30_35-42-multidom.pdb,0.24553551
multidomains,m7n2_15_30_50-142-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_40-63-multidom.pdb,0.03
multidomains,m2n3_15_30_35-84-multidom.pdb,0.0
multidomains,m7n2_15_30_50-68-multidom_far_.pdb,0.0
multidomains,m5n2_15_30_50-110-multidom.pdb,0.0
multidomains,m2n2_15_30_40-74-multidom.pdb,0.03
multidomains,m2n3_15_30_40-6-wormdom.pdb,0.05
multidomains,m2n5_15_30_32-83-multidom.pdb,0.07183761
multidomains,m2n2_15_30_50-68-multidom.pdb,0.06294872
multidomains,m7n2_15_30_50-70-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_50-35-multidom.pdb,0.05
multidomains,m2n3_15_30_45-90-multidom_wormcoiled_.pdb,0.00461538
multidomains,m2n5_15_30_32-86-multidom.pdb,0.02350427
multidomains,m2n5_15_30_32-85-multidom.pdb,0.05
multidomains,m2n3_15_30_45-38-multidom_wormcoiled_.pdb,0.0
multidomains,m2n4_15_30_32-25-multidom.pdb,0.0
onions,m1n3_15_30_50-12-oni.pdb,0.22392857
multidomains,m2n2_15_30_50-5-multidom.pdb,0.05
multidomains,m2n5_15_30_35-61-multidom.pdb,0.11929375
multidomains,m2n2_15_30_50-134-multidom.pdb,0.05833333
multidomains,m2n5_15_30_35-31-multidom.pdb,0.02350427
multidomains,m2n2_15_30_40-124-multidom.pdb,0.0
multidomains,m2n2_15_30_40-116-multidom.pdb,0.06
multidomains,m2n5_15_30_35-4-multidom.pdb,0.18157143
multidomains,m7n2_15_30_50-107-multidom_far_.pdb,0.0
multidomains,m2n5_15_30_32-4-multidom.pdb,0.0
multidomains,m2n3_15_30_35-64-multidom.pdb,0.05
onions,m1n3_15_30_50-31-oni.pdb,0.03
multidomains,m2n3_15_30_35-8-multidom.pdb,0.0
multidomains,m7n2_15_30_50-16-multidom_far_.pdb,0.0
multidomains,m2n3_15_30_45-119-multidom_wormcoiled_.pdb,0.05461538
multidomains,m2n3_15_30_45-1-multidom.pdb,0.05
multidomains,m2n3_15_30_35-74-multidom.pdb,0.04
multidomains,m2n3_15_30_35-70-multidom.pdb,0.0
micelles,m2n2_15_30_100-12-micelle.pdb,0.13380586
multidomains,m7n2_15_30_50-34-multidom_far_.pdb,0.0
multidomains,m2n5_15_30_35-53-multidom.pdb,0.29085714
multidomains,m5n2_15_30_50-48-multidom.pdb,0.0
multidomains,m2n4_15_30_32-5-multidom.pdb,0.0
multidomains,m2n3_15_30_35-7-multidom.pdb,0.0
multidomains,m2n2_15_30_50-10-multidom.pdb,0.06294872
multidomains,m2n4_15_30_32-130-multidom.pdb,0.0
multidomains,m2n5_15_30_35-97-multidom.pdb,0.17821429
multidomains,m5n2_15_30_50-145-multidom.pdb,0.0
multidomains,m2n5_15_30_35-64-multidom.pdb,0.28085714
multidomains,m2n4_15_30_32-62-multidom.pdb,0.0
multidomains,m2n5_15_30_32-78-multidom.pdb,0.0
multidomains,m2n3_15_30_35-61-multidom.pdb,0.01
multidomains,m7n2_15_30_50-121-multidom_far_.pdb,0.0
multidomains,m2n2_15_30_40-13-multidom.pdb,0.03
multidomains,m2n3_15_30_35-20-multidom.pdb,0.06
multidomains,m2n5_15_30_35-22-multidom.pdb,0.29085714
multidomains,m2n5_15_30_32-18-multidom.pdb,0.0
multidomains,m2n3_15_30_45-31-multidom_wormcoiled_.pdb,0.03
multidomains,m2n2_15_30_40-45-multidom.pdb,0.06833333
multidomains,m2n3_15_30_45-113-multidom_wormcoiled_.pdb,0.05
multidomains,m7n2_15_30_50-88-multidom_far_.pdb,0.0
multidomains,m5n2_15_30_50-118-multidom.pdb,0.0
